店名,カテゴリ,月,火,水,木,金,土,日,備考
馬刺し・馬焼肉らむ,飲食,17:00-21:00,17:00-21:00,17:00-21:00,17:00-21:00,17:00-21:00,17:00-21:00,定休日,"TEL: 096-322-9500
ADDR: 〒860-0806 熊本県熊本市中央区花畑町13-23 花畑ビル
NOTE: 
TAG: #馬肉　#馬刺し
"
菅乃屋　新市街店,飲食,17:00-22:00,17:00-22:00,17:00-22:00,17:00-22:00,17:00-22:00,17:00-22:00,17:00-22:00,"TEL: 096-312-8345
ADDR: 〒860-0803 熊本県熊本市中央区新市街2-10 1Ｆ 馬刺し
NOTE: 
TAG: #馬肉　#馬刺し
"
球磨焼酎バー69spirits,バー,,,,,,,,"TEL: 096-327-2115
ADDR: 〒860-0806 熊本県熊本市中央区花畑町13-26
NOTE: 
TAG: #BAR #バー
"
BAR RICORDI,バー,19:00-27:00,19:00-27:00,19:00-27:00,19:00-27:00,19:00-27:00,19:00-27:00,19:00-27:00,"TEL: 096-327-2115
ADDR: 〒860-0806 熊本県熊本市中央区花畑町
NOTE: 
TAG: #BAR #バー
"
Bar STATES,バー,18:00-25:00,18:00-25:00,18:00-25:00,18:00-25:00,18:00-25:00,18:00-25:00,定休日,"TEL: 096-324-9778
ADDR: 熊本市中央区花畑町13-23 久保田ビル4F
NOTE: 日曜及び第二月曜日定休・第二月曜が祝日等の場合は月曜火曜日休み / L.O（0:00）
TAG: #BAR #バー　#ディナー
"
LES CLOS　レクロ,バー,"12:00-14:00（ランチ）
17:00-21:00（ディナー）
21:00-24:00（バータイム）","12:00-14:00（ランチ）
17:00-21:00（ディナー）
21:00-24:00（バータイム）","12:00-14:00（ランチ）
17:00-21:00（ディナー）
21:00-24:00（バータイム）","12:00-14:00（ランチ）
17:00-21:00（ディナー）
21:00-24:00（バータイム）","12:00-14:00（ランチ）
17:00-21:00（ディナー）
21:00-24:00（バータイム）","12:00-14:00（ランチ）
17:00-21:00（ディナー）
21:00-24:00（バータイム）",定休日,"TEL: 096-326-2303
ADDR: 熊本県熊本市中央区中央街2-3 ライズ下通EXE 102
NOTE: ランチL.O（13:00）/  ディナーL.O（20:30）/ ※料理はディナーの時間まで
TAG: #BAR #バー #イタリアン　#ディナー
"
Masquerade Bar,バー,19:00-26:00,19:00-26:00,19:00-26:00,19:00-26:00,19:00-26:00,19:00-26:00,定休日,"TEL: 
ADDR: 〒860-0803 熊本県熊本市中央区新市街3-3-2 夕立ビル B1F
NOTE: 
TAG: #BAR #バー
"
Bar Vespa,バー,17:00-25:00,17:00-25:00,17:00-25:00,17:00-25:00,17:00-25:00,17:00-25:00,定休日,"TEL: 096-325-9735
ADDR: 〒860-0806 熊本県熊本市中央区花畑町13-26
NOTE: 
TAG: #BAR #バー
"
Bar STATES,バー,18:00-25:00,18:00-25:00,18:00-25:00,18:00-25:00,18:00-25:00,18:00-25:00,定休日,"TEL: 096-324-9778
ADDR: 〒860-0806 熊本県熊本市中央区花畑町13-23 4f
NOTE: 
TAG: #BAR #バー
"
BAR SANTE,バー,19:00-26:00,19:00-26:00,19:00-26:00,19:00-26:00,19:00-26:00,19:00-26:00,定休日,"TEL: 096-354-1223
ADDR: 〒860-0807 熊本県熊本市中央区下通1丁目11-28
NOTE: 
TAG: #BAR #バー
"
chocolate & cocktail BAR Septy Glass,バー,19:00-26:00,19:00-26:00,19:00-26:00,19:00-26:00,19:00-26:00,19:00-26:00,19:00-26:00,"TEL: 096-352-8010
ADDR: 〒860-0803 熊本県熊本市中央区下通2丁目3-4 ワシントンドラゴンビル 2F
NOTE: 
TAG: #BAR #バー
"
Bar ladybird,バー,19:00-26:00,19:00-26:00,19:00-26:00,19:00-26:00,19:00-26:00,19:00-26:00,19:00-26:00,"TEL: 096-325-1011
ADDR: 〒860-0848 熊本県熊本市中央区南坪井町10-1 4F
NOTE: 
TAG: #BAR #バー
"
たこ焼きとハイボール　伊賀流,バー,18:00-26:00,定休日,定休日,18:00-26:00,18:00-26:00,18:00-26:00,18:00-26:00,"TEL: 090-1079-3590
ADDR: 〒860-0807 熊本県熊本市中央区下通1丁目4-18 SIビル 1F
NOTE: 
TAG: #BAR #バー
"
yomnom,バー,"12:00-16:00
18:00-26:00","12:00-16:00
18:00-26:00","12:00-16:00
18:00-26:00","12:00-16:00
18:00-26:00","12:00-16:00
18:00-26:00",12:00-26:00,12:00-26:00,"TEL: 096-326-0008
ADDR: 〒860-0845熊本市中央区上通町6-23長崎書店ビル2F
NOTE: L.O（15:15）/  L.O（23：30）
TAG: #BAR #バー
"
ESQUINA,バー,19:00-25:00,19:00-25:00,19:00-25:00,19:00-25:00,19:00-25:00,19:00-25:00,定休日,"TEL: 096-322-5353
ADDR: 〒860-0846　熊本県熊本市中央区城東町5-34 井上ビル2F・3F 
NOTE: 
TAG: #BAR #バー　#お城ビュー
"
"Bar Hironosuke ヒロノスケ
",バー,18:00-26:00,18:00-26:00,18:00-26:00,18:00-26:00,18:00-26:00,18:00-26:00,18:00-26:00,"TEL: 096-327-2356
ADDR: 〒860-0845 熊本県熊本市中央区上通町5-46 イーストンビル 4階
NOTE: 
TAG: #BAR #バー #お城ビュー
"
Bar rest fine,バー,19:00-27:00,19:00-27:00,19:00-27:00,19:00-27:00,19:00-27:00,19:00-27:00,19:00-27:00,"TEL: 096-223-8655
ADDR: 860-0803 熊本県熊本市新市街3－19　アヌークエーメビルBF1
NOTE: L.O（26:00）/  年中無休（研修時のみお休み）
TAG: #BAR #バー
"
大橋電気,バー,12:00-22:00,12:00-22:00,12:00-22:00,定休日,12:00-22:00,12:00-22:00,12:00-22:00,"TEL: 
ADDR: 〒860-0848 熊本県熊本市中央区南坪井町　8-22
NOTE: 現金のみ
TAG: #BAR #バー　#ペット可
"
和酒場　いやさか,バー,18:00-24:00,18:00-24:00,18:00-24:00,18:00-24:00,18:00-24:00,18:00-24:00,定休日,"TEL: 
ADDR: 熊本県 熊本市中央区下通 1-2-12 ロンドンビルBF
NOTE: 
TAG: #BAR #バー
"
BAR Rumbullion,バー,17:30-27:00,17:30-27:00,17:30-27:00,17:30-27:00,17:30-27:00,17:30-27:00,17:30-27:00,"TEL: 096-288-2441
ADDR: 〒860-0807 熊本県熊本市中央区下通1丁目10-88Ｆランバリオン
NOTE: 
TAG: #BAR #バー　#LGBTQフレンドリー
"
松に鱗,飲食,定休日,18:00-24:00,18:00-24:00,18:00-24:00,18:00-24:00,18:00-24:00,18:00-24:00,"TEL: 096-240-5388
ADDR: 〒860-0848 熊本県熊本市中央区南坪井町2-11F
NOTE: 
TAG: #居酒屋 #和食
"
藁焼き酒場ファイヤー,飲食,18:00-24:00,18:00-24:00,18:00-24:00,18:00-24:00,18:00-24:00,18:00-24:00,17:00-23:00,"TEL: 096-324-0701
ADDR: 〒860-0843 熊本県熊本市中央区草葉町2-3 松岡アパート 1F-B
NOTE: 
TAG: #居酒屋 #和食
"
上之裏通り 雪花山房（せっかさんぼう）,飲食,"11:30～14:30
17:30～21:30","11:30～14:30
17:30～21:30",定休日,"11:30～14:30
17:30～21:30","11:30～14:30
17:30～21:30","11:30～14:30
17:30～21:30","11:30～14:30
17:30～21:30","TEL: 
ADDR: 
NOTE: 昼 L.O（14:00）/  夜 L.O（21:00）
TAG: #居酒屋 #和食
"
鳥焼やぼ天,飲食,18:00-22:00,18:00-22:00,18:00-22:00,18:00-22:00,18:00-22:00,18:00-22:00,定休日,"TEL: 096-324-0807
ADDR: 〒860-0806 熊本県熊本市中央区花畑町10-13
NOTE: 
TAG: #居酒屋 #和食
"
うまかっさい,飲食,17:00-23:00,17:00-23:00,17:00-23:00,17:00-23:00,17:00-24:00,17:00-24:00,定休日,"TEL: 096-356-0563
ADDR: 〒860-0807 熊本県熊本市中央区下通１丁目7-7
NOTE: 
TAG: #居酒屋 #和食
"
ききょう家,飲食,"11:30-14:30
17:30-21:00","11:30-14:30
17:30-21:00","11:30-14:30
17:30-21:00","11:30-14:30
17:30-21:00","11:30-14:30
17:30-21:00","11:30-14:30
17:30-21:00",定休日,"TEL: 096-326-9030
ADDR: 〒860-0801 熊本県熊本市中央区安政町4-13 MKビル 1F
NOTE: 
TAG: #居酒屋 #和食
"
茶碗蒸し本舗　稲穂,飲食,17:30-24:00,17:30-24:00,17:30-24:00,17:30-24:00,17:30-24:00,17:30-24:00,定休日,"TEL: 096-352-1888
ADDR: 〒860-0807 熊本県熊本市中央区下通1丁目11-28 東会館 1F
NOTE: 
TAG: #居酒屋 #和食
"
団らん酒場ハシゴダカ,飲食,17:30-24:00,定休日,17:30-24:00,17:30-24:00,17:30-23:00,16:30-22:00,定休日,"TEL: 080-5304-1095
ADDR: 〒860-0843 熊本県熊本市中央区草葉町４−１０ エトワール草葉
NOTE: 
TAG: #居酒屋 #和食
"
あまみや,飲食,11:30-18:30,定休日,11:30-18:30,11:30-18:30,11:30-18:30,11:30-18:30,11:30-18:30,"TEL: 096-323-1136
ADDR: 〒860-0845 熊本県熊本市中央区上通町4-16 タバラビル2F
NOTE: 
TAG: #カフェ #スイーツ #喫茶　#ランチ
"
Neu ノイ,飲食,定休日,定休日,定休日,定休日,19:00-24:00,19:00-24:00,定休日,"TEL: 096-324-6161
ADDR: 〒860-0848 熊本県熊本市中央区南坪井町2-5 2Ｆ
NOTE: 
TAG: #カフェ #スイーツ #喫茶
"
久遠チョコレート,飲食,11:00-19:00,定休日,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,"TEL: 096-200-8418
ADDR: 〒860-0845 熊本県熊本市中央区上通町3-15
NOTE: 
TAG: #カフェ #スイーツ #喫茶
"
cafe ナナセキ,飲食,"15:00-19:00
20:00-23:00","15:00-19:00
20:00-23:00",定休日,定休日,"13:00-18:00
19:30-22:00","13:00-18:00
19:30-22:00","13:00-18:00
19:30-22:00","TEL: 050-8884-3876
ADDR: 〒860-0803 熊本県熊本市中央区新市街3-19 2F
NOTE: 
TAG: #カフェ #スイーツ #喫茶
"
ア・ラモート,飲食,定休日,定休日,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,"TEL: 096-356-8988
ADDR: 〒860-0848 熊本県熊本市中央区南坪井町5-15
NOTE: 
TAG: #カフェ #スイーツ #喫茶
"
coulor coffee,飲食,"6:50-11:00
12:00-17:00","7:00-11:00
12:00-17:00","7:00-11:00
12:00-17:00","7:00-11:00
12:00-17:00","7:00-11:00
12:00-17:00","7:00-11:00
12:00-17:00","7:00-11:00
12:00-17:00","TEL: 
ADDR: 〒860-0845 熊本県熊本市中央区上通町３−１９ ロフティ長安寺 1F
NOTE: 
TAG: #カフェ #スイーツ #喫茶
"
from the farm GIARDINO,飲食,17:30-23:00,17:30-23:00,17:30-23:00,17:30-23:00,17:30-23:00,17:30-24:00,17:00-22:00,"TEL: 096-322-3100
ADDR: 〒860-0806 熊本県熊本市中央区花畑町13-10 セカンドサイト 2階
NOTE: 
TAG: #イタリアン
"
uni,飲食,"11:30-14:00
17:30-21:00",定休日,"11:30-14:00
17:30-21:00","11:30-14:00
17:30-21:00","11:30-14:00
17:30-21:00","11:30-14:00
17:30-21:00","11:30-14:00
17:30-21:00","TEL: 096-352-1001
ADDR: 〒860-0844 熊本県熊本市中央区水道町4-7 1F
NOTE: 
TAG: #イタリアン
"
シャルキュトリーシャルマン,飲食,定休日,18:00-23:00,18:00-23:00,18:00-23:00,18:00-23:00,18:00-23:00,"12:00-14:30
18:00-23:00","TEL: 096-326-1171
ADDR: 〒860-0845 熊本県熊本市中央区上通町5-6 村上屋ビル 1階E号室
NOTE: 
TAG: #フレンチ　#ディナー
"
ガレット食堂　コントマトル,飲食,定休日,11:00-16:30,11:00-16:30,11:00-16:30,11:00-21:00,11:00-21:00,11:00-16:30,"TEL: 096-274-3008
ADDR: 〒860-0801 熊本県熊本市中央区安政町1-6 桑本ビル 3F
NOTE: 
TAG: #フレンチ　#ランチ
"
大衆鰻　うな春,飲食,17:00-22:00,定休日,17:00-22:00,17:00-22:00,17:00-22:00,"11:30-14:30
17:00-22:00",11:00-15:00,"TEL: 080-4357-0942
ADDR: 〒860-0807 熊本県熊本市中央区下通1丁目4-3
NOTE: 祝日は日曜日と同じ営業時間
TAG: #うなぎ
"
うなぎの大新,飲食,"11:30-14:30
17:00-22:00","11:30-14:30
17:00-22:00","11:30-14:30
17:00-22:00","11:30-14:30
17:00-22:00","11:30-14:30
17:00-22:00","11:30-14:30
16:00-22:00",定休日,"TEL: 080-4357-0942
ADDR: 〒860-0807 熊本県熊本市中央区下通1丁目4-3
NOTE: 
TAG: #うなぎ　#ランチ
"
すし処　いちのいち,飲食,定休日,18:00-23:00,18:00-23:00,18:00-23:00,"11:30-14:00
17:30-23:00","11:30-14:00
17:30-23:00","11:30-14:00
17:30-23:00","TEL: 096-326-1039
ADDR: 熊本県熊本市中央区手取本町2-14 1F
NOTE: 
TAG: #寿司
"
二代め　鮨浪花（なにわ）,飲食,18:00-24:30,18:00-24:30,18:00-24:30,18:00-24:30,18:00-24:30,18:00-24:30,定休日,"TEL: 096-276-6728
ADDR: 〒860-0807 熊本県熊本市中央区下通1丁目5-7 たそがれ東館 1階
NOTE: 
TAG: #寿司
"
鮨屋　はじめ,飲食,定休日,18:00-23:00,18:00-23:00,18:00-23:00,18:00-23:00,18:00-23:00,定休日,"TEL: 096-325-5672
ADDR: 〒860-0845 熊本県熊本市中央区上通町4-11 司ビル BＦ1
NOTE: 
TAG: #寿司
"
豪快　立ち寿し,飲食,"11:30-14:00
18:00-22:00","11:30-14:00
18:00-22:00","11:30-14:00
18:00-22:00","11:30-14:00
18:00-22:00","11:30-14:00
18:00-22:30","11:30-14:00
18:00-22:30",11:30-14:00,"TEL: 
ADDR: 
NOTE: 
TAG: #寿司　#ランチ
"
天草牛深丸　サクラマチ店,飲食,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,"TEL: 096-277-1396
ADDR: 〒860-0805　熊本県熊本市中央区桜町3-10 SAKURA MACHI Kumamoto内 3F
エレベーター前
NOTE: L.O（21:30）
TAG: #寿司　#回転寿司
"
廻る寿司　めっけもん　アミュプラザくまもと店,飲食,"11:00-15:00
17:00-22:00","11:00-15:00
17:00-22:00","11:00-15:00
17:00-22:00","11:00-15:00
17:00-22:00","11:00-15:00
17:00-22:00","11:00-15:00
17:00-22:00","11:00-15:00
17:00-22:00","TEL: 096-321-6576
ADDR: 〒860-0047 熊本県熊本市西区春日3丁目15-26 アミュプラザくまもと 6階
NOTE: 
TAG: #寿司　#回転寿司
"
ぎょうざ屋　ちゃおず,飲食,18:00-24:00,18:00-24:00,18:00-24:00,18:00-24:00,18:00-24:00,18:00-24:00,18:00-24:00,"TEL: 096-356-6640
ADDR: 〒860-0807 熊本県熊本市中央区下通1丁目7-1
NOTE: 
TAG: #中華　#アジアン
"
中華酒菜櫻花　インファ,飲食,18:00-25:00,18:00-25:00,18:00-25:00,18:00-25:00,18:00-25:00,18:00-25:00,18:00-25:00,"TEL: 096-201-5609
ADDR: 〒860-0845 熊本県熊本市中央区上通町5-40 長安寺5-46 イーストンビル 2Ｆ
NOTE: 
TAG: #中華　#アジアン
"
銀杏釜めし,飲食,18:00-22:00,18:00-22:00,18:00-22:00,18:00-22:00,18:00-22:00,18:00-22:00,定休日,"TEL: 096-240-2547
ADDR: 〒860-0077 熊本県熊本市中央区内坪井町3-18
NOTE: 
TAG: #ディナー
"
橙書店,飲食,"定休日（第1・３）
12:00-19:00",定休日,12:00-19:00,12:00-19:00,12:00-19:00,12:00-19:00,12:00-17:00,"TEL: 096-355-1276
ADDR: 〒860-0017 熊本県熊本市中央区練兵町５４
NOTE: 
TAG: #本　#書籍　#古書　#カフェ
"
古本と新刊　scene,ショッピング,12:00-21:00,12:00-21:00,12:00-21:00,12:00-21:00,定休日,12:00-21:00,12:00-21:00,"TEL: 090-9485-5667
ADDR: 〒862-0954 熊本県熊本市中央区神水1丁目2-8 輔仁会ビル 202号室
NOTE: 
TAG: #本　#書籍　#古書
"
マックスバリュー　COCOSA B1F,ショッピング,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,"TEL: 096-278-7020
ADDR: 〒860-0807 熊本県熊本市中央区下通1丁目3-8
NOTE: 
TAG: #ショッピング　#スーパー
"
うしじま酒店　肥後よかモン市場店,ショッピング,9:00-20:00,9:00-20:00,9:00-20:00,9:00-20:00,9:00-20:00,9:00-20:00,9:00-20:00,"TEL: 096-288-3934
ADDR: 〒860-0047 熊本県熊本市西区春日3丁目15-30
NOTE: 
TAG: #酒屋　#酒店
"
"くまもと旬彩館さくら LIQUAR/くまBAR（B1 サクラマチクマモト）
",ショッピング,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,"TEL: 096-300-8111
ADDR: 熊本県熊本市中央区桜町3-10 サクラマチクマモト B1F 
NOTE: 
TAG: #酒屋　#酒店
"
"くまもと旬彩館さくら くまBAR（B1 サクラマチクマモト）
",バー,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,"TEL: 096-300-8111
ADDR: 熊本県熊本市中央区桜町3-10 サクラマチクマモト B1F 旬彩館さくらLIQUOR内
NOTE: 
TAG: #バー　
"
お酒の美術館　阿蘇くまもと空港店,ショッピング,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00,"TEL: 080-3367-6722
ADDR: 〒861-2204 熊本県上益城郡益城町小谷１８０２−２ 旅客ターミナルビル 3階 熊本空港（阿蘇くまもと空港）
NOTE: 
TAG: #酒屋　#酒店
"
熊本の地酒・焼酎処　いのもと酒店,ショッピング,10:00-20:00,10:00-20:00,10:00-20:00,定休日,10:00-20:00,10:00-20:00,10:00-18:00,"TEL: 096-382-8088
ADDR: 〒862-0924 熊本県熊本市東区帯山4丁目56-15
NOTE: 祝日　10:00-20:00
TAG: #酒屋　#酒店
"
地酒処　たちばな酒店,ショッピング,10:00-19:00,10:00-19:00,10:00-19:00,定休日,10:00-19:00,10:00-19:00,10:00-18:00,"TEL: 
ADDR: 
NOTE: 祝日　10:00-18:00
TAG: #酒屋　#酒店
"
山崎菅原神社,文化・体験,24時間営業,24時間営業,24時間営業,24時間営業,24時間営業,24時間営業,24時間営業,"TEL: 096-325-3474
ADDR: 〒860-0805　熊本市中央区桜町1-18
NOTE: 受付時間（9:00-17:00） / 御祈願受付 （10:00〜15:30）
TAG: #体験スポット
"
Denkikan,文化・体験,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00,"TEL: 096-352-2121
ADDR: 〒860-0803　熊本県熊本市中央区新市街8番2号
NOTE: 映画館のオープン時間は上映開始の20分前
TAG: #体験スポット #映画
"
水前寺成趣園,観光・エリア,8:30-17:00,8:30-17:00,8:30-17:00,8:30-17:00,8:30-17:00,8:30-17:00,8:30-17:00,"TEL: 
ADDR: 
NOTE: 最終入園 16:30
TAG: #体験スポット
"
小泉八雲熊本旧居,観光・エリア,定休日,9:30-16:30,9:30-16:30,9:30-16:30,9:30-16:30,9:30-16:30,9:30-16:30,"TEL: 096-354-7842
ADDR: 〒860-0801　熊本市中央区安政町2-6
NOTE: 
TAG: #体験スポット
"
夏目漱石内坪井旧居,観光・エリア,定休日,9:30-16:30,9:30-16:30,9:30-16:30,9:30-16:30,9:30-16:30,9:30-16:30,"TEL: 096-325-9127
ADDR: 〒860-0077　熊本市中央区内坪井町4-22
NOTE: 
TAG: #体験スポット
"
熊本県立美術館,文化・体験,定休日,9:30-17:15,9:30-17:15,9:30-17:15,9:30-17:15,9:30-17:15,9:30-17:15,"TEL: 096-352-2111
ADDR: 〒860-0008熊本県熊本市中央区二の丸2番
NOTE: 
TAG: #アート　#工房
"
古今在家,ショッピング,11:00-19:00,11:00-19:00,11:00-19:00,定休日,11:00-19:00,11:00-19:00,11:00-17:00,"TEL: 
ADDR: 
NOTE: 
TAG: #アート　#工房 #雑貨
"
